"","cod_tipo","tipologia"
"1","p","Ejecuci<f3>n de obras, programas o actividades en parques nacionales, reservas nacionales, monumentos naturales, reservas de zonas v<ed>rgenes, santuarios de la naturaleza, parques marinos, reservas marinas o en cualesquiera otra <e1>rea colocada bajo protecci<f3>n oficial, en los casos en que la legislaci<f3>n respectiva lo permita"
"2","i4","Proyecto de desarrollo minero sobre 5000 tons/mens"
"3","o4","Plantas de tratamiento de aguas de origen domiciliario que atiendan a una poblaci<f3>n igual o mayor a 2500 habitantes"
"4","o5","Plantas de tratamiento y/o disposici<f3>n de residuos s<f3>lidos de origen domiciliario, rellenos sanitarios y estaciones de transferencia que atiendan a una poblaci<f3>n igual o mayor a 5000 habitantes"
"5","m4","Industrias de celulosas, de pasta de papel y de papel"
"6","j1","Oleoductos"
"7","b1","L<ed>neas de transmisi<f3>n el<e9>ctrica de alto voltaje"
"8","m1","Proyectos de desarrollo o explotaci<f3>n forestal en suelos fr<e1>giles o en terrenos cubiertos de bosque nativo ser<e1>n aquellos que pretendan cualquier forma de aprovechamiento o cosecha final de los productos maderables del bosque"
"9","e7","Autopistas"
"10","n3","Producci<f3>n anual igual o mayor a (35ton) trat<e1>ndose de equinodermos, crust<e1>ceos y moluscos no filtradores, peces y otras especies, a trav<e9>s de un sistema de producci<f3>n intensivo"
"11","e6","Estaciones de servicios"
"12","n2","Producci<f3>n anual de moluscos filtradores u otras especies filtradoras"
"13","o3","Sistemas de agua potable que comprendan obras que capten y conduzcan agua desde el lugar de captaci<f3>n hasta su entrega en el inmueble del usuario"
"14","n6","Plantas Procesadoras de recursos hidrobiol<f3>gicos"
"15","j2","Gasoductos"
"16","o1","Sistemas de alcantarillado de aguas servidas, que atiendan a una poblaci<f3>n igual o mayor a 2500 habitantes"
"17","e1","Aeropuertos"
"18","o7","Sistemas de tratamiento y/o disposici<f3>n de residuos industriales l<ed>quidos, que contemplen dentro de sus instalaciones lagunas de estabilizaci<f3>n u otros depositos de los efluentes sin tratar y tratados"
"19","h1","Proyectos inmobiliarios"
"20","t","Ingreso voluntario"
"21","c","Centrales generadoras de energ<ed>a mayores a 3 MW"
"22","g4","Proyecto de desarrollo tur<ed>stico (destinados en forma permanente al uso habitacional y/o de equipamiento para fines tur<ed>sticos)"
"23","g2","Proyectos de equipamiento que correspondan a predios y/o edificios destinados en forma permanente a salud, educaci<f3>n, seguridad, culto, deporte, esparcimiento, cultura, transporte, comercio o servicios, y que contemplen al menos una de las siguientes especificaciones:"
"24","h2","Proyectos industriales"
"25","g1","Conjuntos habitacionales con una cantidad igual o superior a ochenta (80) viviendas o, trat<e1>ndose de vivienda social, vivienda progresiva o infraestructura sanitaria, a ciento sesenta (160) viviendas"
"26","e5","V<ed>as f<e9>rreas"
"27","i1","Extracci<f3>n de pozos o canteras"
"28","k1","Instalaciones fabriles sobre 2000 KVA"
"29","m2","Plantas astilladoras"
"30","<f1>5","Producci<f3>n, almacenamiento, disposici<f3>n o reutilizaci<f3>n o transporte por medios terrestres, de sustancias corrosivas o reactivas, que se realicen con una periodicidad mensual o mayor, en una cantidad igual o superior a 120000 Kg/d<ed>a"
"31","l2","Mataderos con una taza de faenaci<f3>n de  500 ton/mes"
